Elapsed time,localhost CPU,localhost Memory,localhost Network I/O
22:00:44.0,14.34,72.452,0.0
22:00:45.0,11.252,72.45,0.0
22:00:46.0,21.27,72.45,1795.0
22:00:47.0,28.125,72.455,1255.0
22:00:48.0,15.603,72.456,2010.0
22:00:49.0,6.6,72.457,320.0
22:00:50.0,31.667,72.465,640.0
22:00:51.0,24.795,72.526,0.0
22:00:52.0,8.404,72.515,0.0
22:00:53.0,26.475,72.524,1380.0
22:00:54.0,29.001,72.535,0.0
22:00:55.0,6.972,72.546,77975.0
22:00:56.0,17.954,72.537,24525.0
22:00:57.0,29.044,72.547,810.0
22:00:58.0,15.051,72.553,1260.0
22:00:59.0,11.325,72.574,5570.0
22:01:00.0,33.062,72.629,5260.0
22:01:01.0,25.793,72.641,4720.0
22:01:02.0,7.801,72.636,4720.0
22:01:03.0,28.816,72.644,840.0
22:01:04.0,35.916,72.644,0.0
22:01:05.0,18.297,72.63,0.0
22:01:06.0,19.925,72.667,0.0
22:01:07.0,29.581,72.68,540.0
22:01:08.0,17.11,72.707,840.0
22:01:09.0,8.954,72.715,0.0
22:01:10.0,35.267,72.712,530.0
22:01:11.0,24.231,72.72,0.0
22:01:12.0,7.825,72.72,0.0
22:01:13.0,26.446,72.718,840.0
22:01:14.0,31.607,72.775,540.0
22:01:15.0,7.076,72.775,0.0
22:01:16.0,20.952,72.767,390.0
22:01:17.0,29.271,72.775,0.0
22:01:18.0,14.413,72.782,1870.0
22:01:19.0,8.175,72.784,0.0
22:01:20.0,32.702,72.789,0.0
22:01:21.0,20.932,72.801,2230.0
22:01:22.0,9.916,72.806,1420.0
22:01:23.0,26.675,72.825,1290.0
22:01:24.0,28.882,72.856,0.0
22:01:25.0,9.387,72.864,0.0
22:01:26.0,14.748,72.863,320.0
22:01:27.0,28.117,72.875,0.0
22:01:28.0,16.804,72.865,1380.0
22:01:29.0,8.509,72.877,0.0
22:01:30.0,32.066,72.878,320.0
22:01:31.0,20.694,72.883,0.0
22:01:32.0,9.0,72.849,530.0
22:01:33.0,35.5,72.935,0.0
22:01:34.0,50.199,72.875,1160.0
22:01:35.0,15.225,72.907,4250.0
22:01:36.0,21.731,72.911,1325.0
22:01:37.0,27.731,72.913,0.0
22:01:38.0,17.55,72.998,1705.0
22:01:39.0,7.825,73.019,2415.0
22:01:40.0,32.833,73.099,1545.0
22:01:41.0,32.957,73.215,1910.0
22:01:42.0,5.426,73.237,2000.0
22:01:43.0,27.725,73.31,1685.0
22:01:44.0,28.019,73.356,2650.0
22:01:45.0,12.146,73.41,0.0
22:01:46.0,17.858,73.459,0.0
22:01:47.0,28.82,73.502,0.0
22:01:48.0,17.558,73.556,640.0
22:01:49.0,12.45,73.595,1380.0
22:01:50.0,33.975,73.634,0.0
22:01:51.0,22.766,73.694,0.0
22:01:52.0,6.597,73.69,0.0
22:01:53.0,23.995,73.703,1220.0
22:01:54.0,27.205,73.705,1370.0
22:01:55.0,12.851,73.707,0.0
22:01:56.0,21.535,73.703,540.0
22:01:57.0,28.245,73.706,320.0
22:01:58.0,14.067,73.709,420.0
22:01:59.0,10.716,73.709,1160.0
22:02:00.0,35.3,73.709,320.0
22:02:01.0,24.975,73.708,0.0
22:02:02.0,8.59,73.696,0.0
22:02:03.0,29.581,73.7,540.0
22:02:04.0,30.467,73.712,840.0
22:02:05.0,8.977,73.718,63150.0
22:02:06.0,16.8,73.712,82960.0
22:02:08.0,28.9,73.718,2330.0
22:02:09.0,16.67,73.718,0.0
22:02:10.0,10.488,73.718,1650.0
22:02:11.0,30.37,73.718,1310.0
22:02:12.0,21.015,73.718,0.0
22:02:13.0,14.392,73.717,0.0
22:02:14.0,27.114,73.719,0.0
22:02:15.0,25.672,73.718,840.0
22:02:16.0,12.079,73.7,530.0
22:02:17.0,21.481,73.743,22270.0
22:02:18.0,28.464,73.746,2130.0
22:02:19.0,17.46,73.736,640.0
