Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET all,30,1577,1531,1647,20.05,0.000%,.30538,516.74,0.05,1732751.0
GET weather 789,30,4,3,10,1.25,0.000%,.31022,0.17,0.05,554.0
POST add weather r (999999999),30,4,3,8,0.99,0.000%,.31021,0.17,0.17,563.0
PUT update weather (999999999),30,6,6,9,0.79,0.000%,.31020,0.17,0.17,563.0
DELETE wearther (999999999),30,2,2,3,0.44,0.000%,.31021,0.03,0.06,102.0
TOTAL,150,319,2,1647,629.14,0.000%,1.52656,517.16,0.50,346906.6
