Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET all,15,1574,1552,1606,13.20,0.000%,.50753,858.81,0.08,1732751.0
GET weather 789,15,4,4,5,0.44,0.000%,.53585,0.29,0.09,554.0
POST add weather r (999999999),15,4,4,6,0.60,0.000%,.53587,0.29,0.30,563.0
PUT update weather (999999999),15,6,6,8,0.57,0.000%,.53583,0.29,0.30,563.0
DELETE wearther (999999999),15,2,2,3,0.40,0.000%,.53591,0.05,0.10,102.0
TOTAL,75,318,2,1606,628.14,0.000%,2.53601,859.14,0.83,346906.6
