Elapsed time,localhost CPU,localhost Memory,localhost Network I/O
21:32:23.0,11.795,80.275,0.0
21:32:24.0,41.305,80.25,0.0
21:32:25.0,73.098,80.242,1370.0
21:32:26.0,82.7,80.226,0.0
21:32:27.0,88.3,80.197,0.0
21:32:28.0,84.754,80.191,0.0
21:32:29.0,83.513,80.186,3070.0
21:32:30.0,74.334,80.194,1380.0
21:32:31.0,62.406,80.197,1095.0
21:32:32.0,63.575,80.196,31785.0
21:32:33.0,60.436,80.194,1095.0
21:32:34.0,57.093,80.189,1095.0
21:32:35.0,57.311,80.191,840.0
21:32:36.0,58.304,80.192,1460.0
21:32:37.0,82.025,80.192,770.0
21:32:38.0,85.23,80.191,0.0
21:32:39.0,85.145,80.152,0.0
21:32:40.0,88.888,80.218,27205.0
21:32:41.0,83.854,80.215,0.0
21:32:42.0,72.378,80.21,700.0
21:32:43.0,64.582,80.207,1695.0
21:32:44.0,57.573,80.204,350.0
21:32:45.0,58.21,80.207,840.0
21:32:46.0,59.793,80.139,640.0
21:32:47.0,57.68,80.128,530.0
21:32:48.0,56.424,80.124,0.0
21:32:49.0,68.187,80.123,320.0
21:32:50.0,83.358,80.108,1380.0
21:32:51.0,84.771,80.107,0.0
21:32:52.0,86.029,80.478,30485.0
21:32:53.0,87.787,80.484,320.0
21:32:54.0,77.293,80.502,0.0
21:32:55.0,60.95,80.506,4020.0
21:32:56.0,57.789,80.234,740.0
21:32:57.0,57.322,80.229,540.0
21:32:58.0,55.992,80.227,5250.0
21:32:59.0,53.685,80.208,4720.0
21:33:00.0,59.3,80.248,68380.0
21:33:01.0,77.434,80.238,4720.0
21:33:02.0,81.166,80.236,1705.0
21:33:03.0,80.223,80.234,1255.0
21:33:04.0,81.665,80.194,540.0
21:33:05.0,79.581,80.188,1740.0
21:33:06.0,62.349,80.187,810.0
21:33:07.0,60.159,80.183,0.0
21:33:08.0,56.797,80.182,0.0
21:33:09.0,55.452,80.184,530.0
21:33:10.0,56.819,80.185,840.0
21:33:11.0,55.624,80.185,540.0
21:33:12.0,61.521,80.183,0.0
21:33:13.0,55.099,80.185,0.0
