Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET all,60,1738,1581,1879,74.38,0.000%,1.18006,1996.83,0.19,1732757.5
GET weather 789,60,14,3,50,13.45,0.000%,1.21874,0.66,0.20,554.0
POST add weather r (999999999),60,6,4,44,6.80,0.000%,1.21872,0.67,0.68,563.0
PUT update weather (999999999),60,10,6,53,9.78,0.000%,1.21867,0.67,0.69,563.0
DELETE wearther (999999999),60,4,2,38,4.49,0.000%,1.21877,0.12,0.23,102.0
TOTAL,300,354,2,1879,692.69,0.000%,5.89750,1997.94,1.92,346907.9
