Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET all,100,2935,1963,4416,872.07,44.000%,3.04785,2888.76,0.48,970548.7
GET weather 789,100,1690,4,2147,541.69,41.000%,3.24139,1.39,0.53,438.8
POST add weather r (999999999),100,1620,4,2143,668.36,38.000%,3.31785,1.24,1.86,384.0
PUT update weather (999999999),100,1936,6,4170,1163.10,75.000%,3.46644,1.04,1.95,307.3
DELETE wearther (999999999),100,1436,3,2117,869.93,33.000%,4.04040,0.39,0.77,98.7
TOTAL,500,1924,3,4416,1001.80,46.200%,15.22951,2890.57,4.97,194355.5
