Elapsed time,localhost CPU,localhost Memory,localhost Network I/O
21:40:28.0,24.466,79.412,0.0
21:40:29.0,69.484,79.413,0.0
21:40:30.0,98.9,79.413,1995.0
21:40:31.0,99.228,79.421,1935.0
21:40:32.0,98.838,79.429,1095.0
21:40:33.0,98.158,79.482,4165.0
21:40:34.0,98.478,79.507,3065.0
21:40:35.0,98.381,79.56,1325.0
21:40:36.0,98.545,79.605,2095.0
21:40:37.0,99.203,79.612,1255.0
21:40:38.0,98.866,79.626,0.0
21:40:39.0,100.0,79.634,0.0
21:40:40.0,98.455,79.669,0.0
21:40:41.0,100.0,79.679,1290.0
21:40:42.0,98.852,79.705,350.0
21:40:43.0,98.034,79.768,35495.0
21:40:44.0,98.54,79.758,22450.0
21:40:45.0,98.425,79.829,640.0
21:40:46.0,97.781,79.87,1480.0
21:40:47.0,99.612,79.809,320.0
21:40:48.0,98.831,79.838,1090.0
21:40:49.0,97.738,79.846,810.0
21:40:50.0,97.387,79.86,0.0
21:40:51.0,97.038,79.854,1365.0
21:40:52.0,98.077,79.863,21210.0
21:40:53.0,99.6,79.881,4210.0
21:40:54.0,99.641,79.911,320.0
21:40:55.0,98.466,79.909,2140.0
21:40:56.0,98.082,80.034,840.0
21:40:57.0,97.013,80.01,9000.0
21:40:58.0,98.467,80.078,26140.0
21:41:00.0,97.154,80.115,6720.0
21:41:01.0,97.604,80.145,7370.0
