Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET all,100,1637,1567,2353,102.09,0.000%,.99440,1682.67,0.16,1732751.0
GET weather 789,100,5,3,108,10.44,0.000%,1.01050,0.55,0.16,554.0
POST add weather r (999999999),100,4,3,42,3.80,0.000%,1.01050,0.56,0.57,563.0
PUT update weather (999999999),100,8,5,180,17.68,0.000%,1.01047,0.56,0.57,563.0
DELETE wearther (999999999),100,3,2,12,1.04,0.000%,1.01051,0.10,0.19,102.0
TOTAL,500,331,2,2353,654.46,0.000%,4.97107,1684.08,1.62,346906.6
