Elapsed time,localhost CPU,localhost Memory,localhost Network I/O
22:06:54.0,11.859,74.76,0.0
22:06:55.0,48.052,74.786,540.0
22:06:56.0,46.689,74.783,840.0
22:06:57.0,51.357,74.821,3070.0
22:06:58.0,49.6,74.816,9440.0
22:06:59.0,48.812,74.814,5250.0
22:07:00.0,47.898,74.819,350.0
22:07:01.0,48.307,74.82,5560.0
22:07:02.0,51.949,74.946,540.0
22:07:03.0,50.914,74.945,0.0
22:07:04.0,48.487,74.936,0.0
22:07:05.0,49.199,74.946,450.0
22:07:06.0,48.256,74.937,840.0
22:07:07.0,48.244,74.828,0.0
22:07:08.0,51.562,74.823,450.0
22:07:09.0,55.474,74.819,540.0
22:07:10.0,56.744,74.815,530.0
22:07:11.0,52.904,74.813,840.0
22:07:12.0,53.444,74.925,0.0
22:07:13.0,74.327,74.864,770.0
22:07:14.0,72.201,74.962,0.0
22:07:15.0,54.04,74.924,0.0
22:07:16.0,68.579,74.911,1380.0
22:07:17.0,51.946,74.917,640.0
22:07:18.0,47.697,74.922,0.0
22:07:19.0,66.907,74.952,0.0
22:07:20.0,64.973,74.965,0.0
22:07:21.0,72.151,74.94,1370.0
22:07:22.0,81.269,74.941,810.0
22:07:23.0,68.331,75.036,540.0
22:07:24.0,52.137,75.026,1235.0
22:07:25.0,47.536,74.966,0.0
22:07:26.0,52.626,74.962,840.0
22:07:27.0,61.494,74.969,450.0
22:07:28.0,47.65,75.003,320.0
22:07:29.0,50.0,74.984,0.0
22:07:30.0,47.251,74.976,540.0
22:07:31.0,47.71,74.983,840.0
22:07:32.0,47.887,74.981,5080.0
22:07:33.0,51.345,75.218,1255.0
22:07:34.0,48.487,75.217,0.0
22:07:35.0,44.911,75.225,450.0
22:07:36.0,45.49,75.226,840.0
22:07:37.0,46.888,75.225,540.0
22:07:38.0,50.971,75.221,0.0
22:07:39.0,48.643,75.23,0.0
22:07:40.0,49.389,75.229,0.0
22:07:41.0,44.936,75.237,2315.0
22:07:42.0,46.486,75.201,350.0
22:07:43.0,46.501,75.112,530.0
22:07:44.0,48.05,75.1,540.0
22:07:45.0,46.875,75.103,350.0
22:07:46.0,46.461,75.058,1160.0
22:07:47.0,48.05,75.056,640.0
22:07:48.0,49.431,75.171,0.0
22:07:49.0,50.158,75.171,0.0
22:07:50.0,47.337,75.163,0.0
22:07:51.0,48.667,75.168,1830.0
22:07:52.0,45.334,75.162,1220.0
22:07:53.0,46.094,75.063,0.0
22:07:54.0,46.351,75.059,530.0
22:07:55.0,47.832,75.062,0.0
22:07:56.0,51.225,75.054,840.0
22:07:57.0,49.357,75.059,740.0
22:07:58.0,45.556,75.057,540.0
22:07:59.0,48.038,75.062,0.0
22:08:00.0,47.711,75.059,0.0
22:08:01.0,48.437,75.06,540.0
22:08:02.0,50.757,75.057,1160.0
22:08:03.0,55.034,75.056,0.0
22:08:04.0,51.177,75.053,0.0
22:08:05.0,54.058,75.059,1460.0
22:08:06.0,49.041,75.057,0.0
22:08:07.0,53.471,75.054,1160.0
22:08:08.0,54.106,75.052,320.0
22:08:09.0,53.662,75.057,1545.0
22:08:10.0,50.997,75.052,0.0
22:08:11.0,54.188,75.052,0.0
22:08:12.0,50.983,75.049,1380.0
22:08:13.0,46.088,75.093,0.0
22:08:14.0,49.053,75.129,0.0
22:08:15.0,62.241,75.224,1390.0
22:08:16.0,52.169,75.221,530.0
22:08:17.0,53.3,75.219,1480.0
22:08:18.0,49.402,75.217,0.0
22:08:19.0,48.449,75.221,540.0
22:08:20.0,48.81,75.095,810.0
22:08:21.0,50.971,75.109,0.0
22:08:22.0,46.486,75.105,4455.0
22:08:23.0,48.618,75.111,0.0
22:08:24.0,47.085,75.102,0.0
22:08:25.0,47.663,75.113,1255.0
22:08:26.0,45.758,75.104,1795.0
22:08:27.0,48.424,75.183,1690.0
22:08:28.0,52.76,75.23,0.0
22:08:29.0,49.402,75.218,0.0
22:08:30.0,47.283,75.222,0.0
22:08:31.0,48.27,75.225,1095.0
22:08:32.0,46.073,75.109,2895.0
22:08:33.0,35.55,75.13,1635.0
