Elapsed time,localhost CPU,localhost Memory,localhost Network I/O
21:28:06.0,11.959,80.255,0.0
21:28:07.0,32.295,80.289,0.0
21:28:08.0,47.083,80.197,0.0
21:28:09.0,52.501,80.238,320.0
21:28:10.0,45.218,80.233,1260.0
21:28:11.0,51.165,80.233,1380.0
21:28:12.0,43.75,80.225,0.0
21:28:13.0,28.514,80.233,850.0
21:28:14.0,30.761,80.222,0.0
21:28:15.0,35.883,80.23,0.0
21:28:16.0,33.856,80.223,3740.0
21:28:17.0,40.558,80.223,640.0
21:28:18.0,33.218,80.207,540.0
21:28:19.0,34.383,80.23,0.0
21:28:20.0,24.869,80.221,0.0
21:28:21.0,27.661,80.225,840.0
21:28:22.0,25.338,80.22,0.0
21:28:23.0,29.596,80.226,0.0
21:28:24.0,25.298,80.219,530.0
21:28:25.0,30.336,80.223,540.0
21:28:26.0,48.63,80.221,0.0
21:28:27.0,52.516,80.227,535.0
21:28:28.0,48.296,80.219,1290.0
21:28:29.0,52.096,80.227,0.0
21:28:30.0,46.725,80.22,0.0
21:28:31.0,27.657,80.226,2330.0
21:28:32.0,23.995,80.216,2085.0
21:28:33.0,30.652,80.227,5115.0
21:28:34.0,28.026,80.216,1095.0
21:28:35.0,27.238,80.219,1625.0
21:28:36.0,47.096,80.171,0.0
21:28:37.0,25.775,80.206,0.0
21:28:38.0,25.457,80.202,840.0
21:28:39.0,60.622,80.083,540.0
21:28:40.0,27.529,80.125,0.0
21:28:41.0,27.308,80.124,0.0
21:28:42.0,28.058,80.124,350.0
21:28:43.0,35.92,80.123,840.0
21:28:44.0,29.853,80.068,1505.0
21:28:45.0,34.879,80.068,0.0
21:28:46.0,47.261,80.067,1460.0
21:28:47.0,53.31,80.096,55740.0
21:28:48.0,52.508,80.1,35040.0
21:28:49.0,58.214,80.1,2345.0
21:28:50.0,51.575,80.272,0.0
21:28:51.0,31.125,80.403,320.0
21:28:52.0,25.356,80.407,900.0
21:28:53.0,28.132,80.407,1380.0
21:28:54.0,28.695,80.41,0.0
21:28:55.0,43.949,80.174,0.0
21:28:56.0,24.643,80.163,5055.0
21:28:57.0,26.568,80.143,1270.0
21:28:58.0,27.603,79.981,7200.0
21:28:59.0,27.121,79.995,4720.0
21:29:00.0,26.754,79.818,5260.0
21:29:01.0,27.725,79.825,0.0
21:29:02.0,27.32,79.818,5530.0
21:29:03.0,38.711,79.719,5565.0
21:29:04.0,33.141,79.783,27805.0
