Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET all,30,1563,1529,1612,19.25,0.000%,.50377,852.45,0.08,1732751.0
GET weather 789,30,3,3,5,0.43,0.000%,.51711,0.28,0.08,554.0
POST add weather r (999999999),30,4,3,5,0.37,0.000%,.51712,0.28,0.29,563.0
PUT update weather (999999999),30,6,6,7,0.48,0.000%,.51709,0.28,0.29,563.0
DELETE wearther (999999999),30,2,2,3,0.46,0.000%,.51713,0.05,0.10,102.0
TOTAL,150,316,2,1612,623.77,0.000%,2.51809,853.07,0.82,346906.6
