Elapsed time,localhost CPU,localhost Memory,localhost Network I/O
21:41:28.0,28.065,80.36,0.0
21:41:29.0,89.062,80.355,540.0
21:41:30.0,98.922,80.346,320.0
21:41:31.0,98.347,80.349,0.0
21:41:32.0,97.738,80.415,0.0
21:41:33.0,97.362,80.48,840.0
21:41:34.0,96.992,80.511,0.0
21:41:35.0,98.191,80.515,2915.0
21:41:36.0,100.0,80.545,1460.0
21:41:37.0,93.529,80.581,0.0
21:41:38.0,96.854,80.574,840.0
21:41:39.0,96.569,80.579,0.0
21:41:40.0,97.614,80.434,1070.0
21:41:41.0,92.421,80.531,0.0
21:41:42.0,96.897,80.519,840.0
21:41:43.0,98.188,80.511,700.0
21:41:44.0,98.756,80.497,1155.0
21:41:45.0,95.244,80.516,540.0
21:41:46.0,94.532,80.498,0.0
21:41:47.0,96.718,80.48,3530.0
21:41:48.0,96.886,80.472,0.0
21:41:49.0,96.993,80.531,850.0
21:41:50.0,96.764,80.515,0.0
21:41:51.0,98.86,80.511,0.0
21:41:52.0,97.746,80.507,2060.0
21:41:53.0,98.795,80.512,540.0
21:41:54.0,92.194,80.548,535.0
21:41:55.0,99.612,80.537,0.0
21:41:56.0,96.654,80.532,0.0
21:41:57.0,97.26,80.549,1440.0
21:41:58.0,95.916,80.528,735.0
21:41:59.0,97.44,80.494,0.0
