Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET all,200,2529,2004,5163,918.88,78.000%,6.02428,2243.37,0.95,381325.7
GET weather 789,200,1961,4,2150,320.12,71.000%,6.44205,2.23,1.04,354.5
POST add weather r (999999999),200,1825,5,2146,505.46,59.000%,6.90489,1.92,3.86,285.1
PUT update weather (999999999),200,1966,7,4127,938.42,94.000%,7.44075,1.96,4.19,269.2
DELETE wearther (999999999),200,1537,2,2138,805.46,50.000%,8.27472,0.78,1.57,97.0
TOTAL,1000,1964,2,5163,806.54,70.400%,30.10507,2248.07,9.83,76466.3
