Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET all,100,2636,1690,3538,439.44,0.000%,1.89822,3212.43,0.30,1732957.7
GET weather 789,100,417,3,1509,356.68,0.000%,1.96098,1.06,0.32,554.0
POST add weather r (999999999),100,448,4,1489,385.31,0.000%,1.96094,1.08,1.10,563.0
PUT update weather (999999999),100,661,7,2664,641.86,35.000%,1.96082,0.78,1.10,408.3
DELETE wearther (999999999),100,393,3,1447,350.18,0.000%,1.96094,0.20,0.37,102.0
TOTAL,500,911,3,3538,976.43,7.000%,9.48695,3214.05,3.10,346917.0
