Elapsed time,localhost CPU,localhost Memory,localhost Network I/O
22:04:33.0,10.853,73.368,0.0
22:04:34.0,86.509,73.362,2255.0
22:04:35.0,91.438,73.356,1095.0
22:04:36.0,94.57,73.362,540.0
22:04:37.0,91.788,73.358,530.0
22:04:38.0,94.947,73.4,0.0
22:04:39.0,96.922,73.434,1610.0
22:04:40.0,96.62,73.45,0.0
22:04:41.0,93.849,73.444,0.0
22:04:42.0,93.843,73.478,1155.0
22:04:43.0,94.007,73.524,1430.0
22:04:44.0,96.081,73.547,1160.0
22:04:45.0,95.398,73.538,0.0
22:04:46.0,97.643,73.629,0.0
22:04:47.0,93.552,73.632,640.0
22:04:48.0,94.652,73.649,530.0
22:04:49.0,94.631,73.719,320.0
22:04:50.0,94.939,73.738,1380.0
22:04:51.0,95.379,73.796,450.0
22:04:52.0,93.374,73.834,0.0
22:04:53.0,94.567,73.883,810.0
22:04:54.0,92.884,74.022,1545.0
22:04:55.0,92.711,74.217,840.0
22:04:56.0,94.611,74.353,3295.0
22:04:57.0,92.752,74.541,960.0
22:04:58.0,93.643,74.597,5040.0
22:04:59.0,94.922,74.604,5780.0
22:05:00.0,96.12,74.597,6815.0
22:05:01.0,92.872,74.592,5975.0
22:05:02.0,95.624,74.601,0.0
22:05:03.0,95.097,74.595,0.0
22:05:04.0,93.776,74.599,540.0
22:05:05.0,93.889,74.593,840.0
22:05:06.0,94.593,74.559,0.0
22:05:07.0,94.626,74.544,0.0
22:05:08.0,95.041,74.556,0.0
22:05:09.0,92.686,74.548,0.0
22:05:10.0,94.569,74.552,1370.0
22:05:11.0,93.494,74.549,540.0
22:05:12.0,93.216,74.551,0.0
22:05:13.0,96.144,74.547,0.0
22:05:14.0,94.548,74.556,0.0
22:05:15.0,94.959,74.547,840.0
22:05:16.0,98.048,74.52,0.0
22:05:17.0,94.693,74.544,640.0
22:05:18.0,94.633,74.542,540.0
22:05:19.0,95.735,74.541,0.0
22:05:20.0,95.413,74.544,1270.0
22:05:21.0,93.773,74.535,2430.0
22:05:22.0,84.535,74.542,0.0
